,0,1,2,Year,Male_Athletes,Female_Athletes,Total_Athletes
"(241, 241)",1.0,0.034482758620689655,1.0,,,,
"(645, 651)",1.0,0.034482758620689655,1.0,,,,
"(975, 997)",1.0,0.034482758620689655,1.0,,,,
"(1206, 1332)",1.0,0.034482758620689655,1.0,,,,
"(1971, 2008)",1.0,0.034482758620689655,1.0,,,,
"(2359, 2407)",1.0,0.034482758620689655,1.0,,,,
"(2561, 2626)",1.0,0.034482758620689655,1.0,,,,
"(2606, 2883)",1.0,0.034482758620689655,1.0,,,,
"(2938, 3314)",1.0,0.034482758620689655,1.0,,,,
"(2954, 3089)",1.0,0.034482758620689655,1.0,,,,
"(3632, 3963)",1.0,0.034482758620689655,1.0,,,,
"(3714, 4104)",1.0,0.034482758620689655,1.0,,,,
"(4064, 5179)",1.0,0.034482758620689655,1.0,,,,
"(4435, 5216)",1.0,0.034482758620689655,1.0,,,,
"(4436, 4955)",1.0,0.034482758620689655,1.0,,,,
"(4473, 5151)",1.0,0.034482758620689655,1.0,,,,
"(4727, 5338)",1.0,0.034482758620689655,1.0,,,,
"(4824, 6084)",1.0,0.034482758620689655,1.0,,,,
"(5263, 6829)",1.0,0.034482758620689655,1.0,,,,
"(5651, 11037)",1.0,0.034482758620689655,1.0,,,,
"(5892, 10568)",1.0,0.034482758620689655,1.0,,,,
"(6075, 7134)",1.0,0.034482758620689655,1.0,,,,
"(6179, 11238)",1.0,0.034482758620689655,1.0,,,,
"(6197, 8391)",1.0,0.034482758620689655,1.0,,,,
"(6296, 10625)",1.0,0.034482758620689655,1.0,,,,
"(6305, 10942)",1.0,0.034482758620689655,1.0,,,,
"(6582, 10651)",1.0,0.034482758620689655,1.0,,,,
"(6652, 9356)",1.0,0.034482758620689655,1.0,,,,
"(6806, 10318)",1.0,0.034482758620689655,1.0,,,,
count,,,,29.0,29.0,29.0,29.0
mean,,,,1960.551724137931,4160.6551724137935,1585.103448275862,5745.758620689655
std,,,,38.347644933179176,1987.5631036857685,1827.379649053091,3597.4532723578263
min,,,,1896.0,241.0,0.0,241.0
25%,,,,1928.0,2606.0,135.0,2883.0
50%,,,,1964.0,4436.0,678.0,5179.0
75%,,,,1992.0,6075.0,2704.0,9356.0
max,,,,2020.0,6806.0,5386.0,11238.0
